iter	Logloss
0	0.6925205652
1	0.691912513
2	0.6913379297
3	0.6907248745
4	0.6900872277
5	0.6896135918
6	0.6891445757
7	0.6885403575
8	0.6879565768
9	0.6874814037
10	0.686842759
11	0.6863923085
12	0.6859098135
13	0.685360822
14	0.6849313733
15	0.6844715942
16	0.6840939498
17	0.6836724344
18	0.6831661164
19	0.6829153791
20	0.6824641146
21	0.6820577391
22	0.6816979726
23	0.6814383755
24	0.6810779394
25	0.6806738232
26	0.6802374469
27	0.679882342
28	0.6796273168
29	0.6793057927
30	0.678895646
31	0.6785454676
32	0.6782480376
33	0.6779815561
34	0.6776501477
35	0.6774441038
36	0.6771773587
37	0.6768782005
38	0.6765182705
39	0.6762276387
40	0.6758471741
41	0.6755815466
42	0.6752971082
43	0.6750077938
44	0.6747130442
45	0.6743735759
46	0.6740145046
47	0.6737388125
48	0.6734478436
49	0.6731130009
50	0.6728098731
51	0.6724738551
52	0.6721372878
53	0.6718941168
54	0.6716325492
55	0.6713883314
56	0.6711793054
57	0.6708643459
58	0.6704487902
59	0.670192299
60	0.6698524929
61	0.6694736992
62	0.6691970316
63	0.668953355
64	0.6687118637
65	0.6685115567
66	0.668263191
67	0.6680502086
68	0.6678081055
69	0.6674819446
70	0.667256447
71	0.6670024172
72	0.6667988814
73	0.6665751976
74	0.6663225731
75	0.66590618
76	0.6656282436
77	0.6654207593
78	0.6650851496
79	0.6648509065
80	0.6646429355
81	0.6643842413
82	0.6641050243
83	0.6638338987
84	0.6635773917
85	0.6633640669
86	0.6631416642
87	0.6628352881
88	0.662662654
89	0.6624467498
90	0.662231075
91	0.6620494601
92	0.6617344569
93	0.6614477998
94	0.6611817787
95	0.6609172761
96	0.6606595561
97	0.6603333803
98	0.6598393027
99	0.6595763144
100	0.6592689767
101	0.6589365537
102	0.6586845018
103	0.6584753683
104	0.658198257
105	0.6580317137
106	0.657761951
107	0.6572986273
108	0.6570397414
109	0.6568049181
110	0.6565785003
111	0.6564530443
112	0.6561706924
113	0.655935812
114	0.6556559226
115	0.6554053111
116	0.6552237557
117	0.6549528377
118	0.6546690518
119	0.6543305048
120	0.654145197
121	0.653837445
122	0.6535879053
123	0.6532693471
124	0.653099586
125	0.6528415806
126	0.6525963536
127	0.6523843582
128	0.6521301204
129	0.6519533289
130	0.6517286809
131	0.6516020878
132	0.6514018326
133	0.6511808894
134	0.6509662325
135	0.6506856955
136	0.6504984391
137	0.650297285
138	0.6501403091
139	0.6499247461
140	0.6497123207
141	0.6495253591
142	0.6492700259
143	0.6490291995
144	0.6487969905
145	0.6485181105
146	0.6482603101
147	0.6480520926
148	0.6478869849
149	0.6476282956
150	0.6474406989
151	0.6472922041
152	0.6470370076
153	0.6468219374
154	0.6466460442
155	0.646407581
156	0.6461038283
157	0.6458614229
158	0.6457013045
159	0.6454861021
160	0.6452832408
161	0.6450799192
162	0.6448949544
163	0.6446450991
164	0.6444542146
165	0.6443049662
166	0.6440196553
167	0.6438646721
168	0.643570322
169	0.643367186
170	0.6431425411
171	0.6428756202
172	0.6426794858
173	0.6424059243
174	0.6422383307
175	0.6420959454
176	0.6417967117
177	0.6416162665
178	0.6413925725
179	0.6411486741
180	0.6408992562
181	0.6406619593
182	0.6404009686
183	0.6401710764
184	0.6399685748
185	0.6397620729
186	0.639551061
187	0.6393508382
188	0.6391311858
189	0.6389472922
190	0.6388152959
191	0.63863081
192	0.6383682974
193	0.6381444388
194	0.6379526898
195	0.637696349
196	0.6375203996
197	0.6372602824
198	0.6369374206
199	0.6367413119
200	0.6365639791
201	0.6362696679
202	0.6360748181
203	0.6357615298
204	0.6354432908
205	0.635154069
206	0.6349254869
207	0.6347078179
208	0.6345054676
209	0.6342864593
210	0.6340033991
211	0.6337861313
212	0.6335466482
213	0.6332601762
214	0.6329510439
215	0.6326976814
216	0.6325515895
217	0.6323411259
218	0.6320569696
219	0.6317816718
220	0.631524184
221	0.6312156453
222	0.6308799585
223	0.6306069734
224	0.6302285452
225	0.630091662
226	0.6298442344
227	0.6295541842
228	0.6292452975
229	0.6289272422
230	0.6286530158
231	0.6284534397
232	0.6281911925
233	0.6279628868
234	0.6276199352
235	0.6273255132
236	0.6270124701
237	0.6267753501
238	0.6265152671
239	0.6263070097
240	0.6260797041
241	0.6258448485
242	0.6255623866
243	0.6253258845
244	0.6250584636
245	0.6248211988
246	0.6246125488
247	0.6244761432
248	0.6242775776
249	0.6240039576
250	0.6236745627
251	0.6234151234
252	0.6231254016
253	0.6228776651
254	0.6226385091
255	0.6223309491
256	0.6220700631
257	0.6217763659
258	0.6215505167
259	0.6212413299
260	0.6210508845
261	0.6207239194
262	0.6204094079
263	0.6200500133
264	0.6198205644
265	0.6195368417
266	0.6192210789
267	0.6189308551
268	0.6186278463
269	0.6183380433
270	0.6180799891
271	0.6177462626
272	0.617460991
273	0.6172854142
274	0.616910144
275	0.6166618354
276	0.6163172296
277	0.6160408948
278	0.6157994902
279	0.6155304455
280	0.6152321567
281	0.6149006858
282	0.6146785948
283	0.6144208752
284	0.6141461555
285	0.6139484858
286	0.6136132952
287	0.6132947134
288	0.6129854407
289	0.6127637905
290	0.6124741376
291	0.6122044795
292	0.6118983034
293	0.611651139
294	0.6112895592
295	0.6108972294
296	0.6106645147
297	0.6103333117
298	0.6100789413
299	0.6097811651
