ticker,score,universe_percentile,signal,rank
WELL,0.9166549975650945,1.0,STRONG BUY,1
AMD,0.9117922242767788,0.9956331877729258,STRONG BUY,2
PLD,0.908314732630262,0.9912663755458515,STRONG BUY,3
NLY,0.9012187294521453,0.9868995633187773,STRONG BUY,4
VLO,0.8948372951252282,0.982532751091703,STRONG BUY,5
PLTR,0.8927888351448857,0.9781659388646288,STRONG BUY,6
NVDA,0.8813532604075822,0.9737991266375546,STRONG BUY,7
