Date,Open,High,Low,Close,Volume
1981-12-31,1.9252247162237321,1.9456335202007604,1.9048159122467039,1.904815912246704,68040
1982-01-04,1.9524369302995663,1.979648678166119,1.91842243231405,1.9728455543518066,106560
1982-01-05,1.9592396812649442,1.99325417602128,1.9252251865086085,1.9320279359817505,240840
1982-01-06,1.9252255172548365,1.945634329723386,1.8980137672967703,1.9184225797653198,239040
1982-01-07,1.911619455428115,1.9184225797653198,1.9048167047862867,1.9184225797653198,162720
1982-01-08,1.9252251865086085,1.938830872302549,1.9116191270193552,1.9320279359817505,210960
1982-01-11,1.9252246136975197,1.9456334165876943,1.8980128765106201,1.8980128765106201,218160
1982-01-12,1.8912093118013815,1.8980122438304288,1.8776034477432875,1.884406566619873,198360
1982-01-13,1.884406566619873,1.8912093118013815,1.8776034477432875,1.884406566619873,465120
1982-01-14,1.8571960926055908,1.8708017790036078,1.8367872827370686,1.8571960926055908,288360
1982-01-15,1.85039181298383,1.8571949322036492,1.8435890674591064,1.8435890674591064,408240
1982-01-18,1.8299839871847186,1.843589857761771,1.8095751813191399,1.816378116607666,623520
1982-01-19,1.8095757394985006,1.8367874890463063,1.7823641767983807,1.7891669273376465,420840
1982-01-20,1.7687570726104036,1.7891656837381116,1.7483482746351398,1.782362937927246,345960
1982-01-21,1.7755601573239566,1.7823630905649661,1.7619544776895089,1.7687572240829468,340200
1982-01-22,1.7619558276324179,1.768758579237863,1.755152702331543,1.755152702331543,257760
1982-01-25,1.768758579237863,1.782364456144183,1.7483497638783831,1.755152702331543,269280
1982-01-26,1.734742811587525,1.7619545456003836,1.7075310775746664,1.7143340110778809,187200
1982-01-27,1.7211381196975708,1.7279408709978221,1.7075322434016549,1.7211381196975708,236880
1982-01-28,1.8027724211536036,1.8639986515045166,1.7347432555584086,1.8639986515045166,448920
1982-01-29,1.9320277974661892,1.9524366049653876,1.904816240981568,1.9388307332992554,432360
1982-02-01,1.887809213984542,1.918422335363493,1.8469915942474973,1.8571960926055908,315120
1982-02-02,1.8571958591448732,1.8674001693725586,1.836787051841861,1.8674001693725586,206640
1982-02-03,1.8878077500366492,1.9082163572311401,1.8673989559946385,1.9082163572311401,153600
1982-02-04,1.8469915349990091,1.8878091534266908,1.795969792235895,1.836787223815918,201600
1982-02-05,1.8980137672967703,1.9286268925757504,1.8571963292073597,1.9184225797653198,310320
1982-02-08,1.949035105090713,2.0204656464712962,1.8776043768624993,1.928626298904419,374400
1982-02-09,1.9286254929557844,1.9796473936762857,1.877603592235283,1.887808084487915,225840
1982-02-10,1.9286264229734777,1.9592395407984537,1.8878089948227244,1.9388307332992554,233520
1982-02-11,1.9388306085737506,1.9694437244293763,1.8980131830487934,1.928626298904419,239520
1982-02-12,1.9694429057201015,2.000056008849676,1.9286254971631867,1.9796473979949951,180000
1982-02-16,1.949034571647644,1.9694431854005503,1.9286257710471582,1.949034571647644,340800
1982-02-17,1.9898529052734375,2.010261715302387,1.959239783653846,1.9898529052734375,212880
1982-02-18,2.0306702217679615,2.0612833416280196,2.0000571019079034,2.040874719619751,199440
1982-02-19,2.0714874329418627,2.122509164796964,2.020465514239143,2.0816917419433594,434880
1982-02-22,2.071486974530691,2.132713188685809,2.000056266784668,2.000056266784668,430320
1982-02-23,1.9898519600413407,2.030669373862227,1.9490345462204544,2.000056266784668,280080
1982-02-24,2.0000571019079034,2.040874719619751,1.9592396710437112,2.040874719619751,235200
1982-02-25,2.0612833416280196,2.102100959339867,2.020465910763827,2.040874719619751,209040
1982-02-26,2.0204650671189,2.071486974530691,1.9592388529637816,2.000056266784668,200400
1982-03-01,2.051078974311222,2.0816920933307923,2.0204658552916515,2.030670166015625,157920
1982-03-02,2.0306699219088125,2.0306699219088125,2.020465612411499,2.020465612411499,69600
1982-03-03,2.000056008849676,2.0204648065519097,1.9694429057201015,1.9796473979949951,171840
1982-03-04,1.9286264229734777,1.9592395407984537,1.8878089948227244,1.9388307332992554,269520
1982-03-05,1.887808084487915,1.9286254929557844,1.8367861837674138,1.887808084487915,148560
1982-03-08,1.8367873354154436,1.9082178917323762,1.755152280447756,1.7653567790985107,444240
1982-03-09,1.8265827464373128,1.9184220992719099,1.7347433936027155,1.8776044845581055,366960
1982-03-10,1.86740034421285,1.8878091534266908,1.836787223815918,1.836787223815918,103200
1982-03-11,1.806174099429072,1.8367872197583783,1.7653566679392163,1.785765290260315,471600
1982-03-12,1.7551515394233619,1.8163777580875209,1.6939253207592029,1.7041298151016235,321120
1982-03-15,1.7143348489103545,1.734743659394225,1.683721726608384,1.7245391607284546,185280
1982-03-16,1.7551516222387014,1.7857647330152344,1.724538511462168,1.7449473142623901,317760
1982-03-17,1.70412973909306,1.7551514611390988,1.6429035231597475,1.6735166311264038,852720
1982-03-18,1.7041305370922544,1.7245391607284546,1.6735174147902838,1.7245391607284546,355680
1982-03-19,1.7959689401406524,1.8163775528239936,1.7653558342680706,1.7755601406097412,191280
1982-03-22,1.8265829712266397,1.8571960926055908,1.785765351489595,1.8571960926055908,245520
1982-03-23,1.887808568489333,1.9082171845319071,1.8571954575778715,1.8980128765106201,362160
1982-03-24,1.9796484102265708,2.0204658396542072,1.9388307939512857,1.9592396020889282,270000
1982-03-25,1.9592396020889282,1.9694439127339252,1.9388307939512857,1.9592396020889282,157440
1982-03-26,1.9286268925757504,1.9592400178547307,1.8980137672967703,1.9184225797653198,435120
1982-03-29,1.8999360984387867,1.9102059602737427,1.8896660485558963,1.9102059602737427,49200
1982-03-30,1.93074631690979,1.9512860453128453,1.8999365362572296,1.93074631690979,134160
1982-03-31,1.9512857019711984,1.9615557524136202,1.9307459771822437,1.9410158395767212,150000
1982-04-01,1.93074631690979,1.9615560975623507,1.8896664840077242,1.93074631690979,690000
1982-04-02,1.9923660297125112,2.053985595703125,1.9307464637218974,2.053985595703125,615840
1982-04-05,2.06425513643207,2.0847950512185256,2.033445358276367,2.033445358276367,354000
1982-04-06,2.0437145233154297,2.06425443108347,2.0129047556873183,2.0437145233154297,213600
1982-04-07,2.0642549991607666,2.0847949125813345,2.0437150857401987,2.0642549991607666,215520
1982-04-08,2.084794778021708,2.095064640045166,2.0642548659268547,2.095064640045166,288000
1982-04-12,2.0950647752676437,2.1258745513745207,2.0642549991607666,2.0642549991607666,47040
1982-04-13,2.1156045521400193,2.136144276186935,2.084794778021708,2.095064640045166,186240
1982-04-14,2.074525325668002,2.084795378698432,2.053985595703125,2.053985595703125,187440
1982-04-15,2.084794778021708,2.1156045521400193,2.0539850039033967,2.095064640045166,185040
1982-04-16,2.1669538715977135,2.2080336923995896,2.115604377667252,2.1772239208221436,375600
1982-04-19,2.156683547738572,2.1977631716795365,2.1156039237976074,2.1156039237976074,133920
1982-04-20,2.105334724384786,2.1361445017565046,2.0745249470130673,2.0847949981689453,219840
1982-04-21,2.074525325668002,2.084795378698432,2.053985595703125,2.053985595703125,164640
1982-04-22,2.0745246410369873,2.0847946906781134,2.064254779443791,2.0745246410369873,91920
1982-04-23,2.1053342819213867,2.125874191868456,2.084794560022236,2.1053342819213867,123360
1982-04-26,2.136143420224097,2.187493085861206,2.08479394263485,2.187493085861206,235680
1982-04-27,2.1977636431751595,2.2080336923995896,2.1772239208221436,2.1772239208221436,323040
1982-04-28,2.1772238510038595,2.1874937118510376,2.1566839412615866,2.1669538021087646,112800
1982-04-29,2.1258745193481445,2.136144381879738,2.105334606237011,2.1258745193481445,110640
1982-04-30,2.1258745193481445,2.146414432459278,2.105334606237011,2.1258745193481445,94320
1982-05-03,2.1361433038131508,2.1566832065582275,2.105333543719462,2.1566832065582275,171120
1982-05-04,2.1566839021802426,2.1669537628413207,2.136143992810174,2.146414041519165,104160
1982-05-05,2.136144381879738,2.146414432459278,2.115604656816551,2.1258745193481445,318960
1982-05-06,2.146414432459278,2.1669541575224645,2.1258745193481445,2.1258745193481445,186240
1982-05-07,2.1258737827708782,2.136143641744149,2.105333876776455,2.1156039237976074,48000
1982-05-10,2.0847949981689453,2.105334724384786,2.064255083905147,2.0847949981689453,70080
1982-05-11,2.084794778021708,2.095064640045166,2.0745247279503127,2.095064640045166,68880
1982-05-12,2.0847946906781134,2.1053344138645063,2.064254779443791,2.0745246410369873,141840
1982-05-13,2.0745249470130673,2.0950648612768656,2.0539852207972267,2.0847949981689453,83040
1982-05-14,2.074525325668002,2.084795378698432,2.053985595703125,2.053985595703125,114240
1982-05-17,2.0745249470130673,2.0847949981689453,2.064255083905147,2.0847949981689453,55440
1982-05-18,2.053984571223399,2.0847943388515104,2.0129047556873183,2.0437145233154297,106080
1982-05-19,2.043715221645614,2.053985273062823,2.033445358276367,2.033445358276367,40320
1982-05-20,2.0231749309856593,2.0437146519990965,1.9923651614175928,2.0129048824310303,85200
1982-05-21,2.0231754949071203,2.033445358276367,2.0026355801206646,2.033445358276367,257040
1982-05-24,2.0129036380644316,2.033443534428122,1.9820938875427934,1.9923639297485352,194640
1982-05-25,2.0026350219243114,2.0129048824310303,1.9923651614175928,2.0129048824310303,90480
1982-05-26,1.992364931287137,2.0026347906076234,1.9718250245982754,1.9820948839187622,112080
1982-05-27,1.9512861967086792,1.9820959797517006,1.920476413665658,1.9512861967086792,329040
1982-05-28,1.93074631690979,1.9512860453128453,1.9102064004587571,1.93074631690979,173280
1982-06-01,1.8896664050580343,1.9204761844233715,1.8588566256926968,1.8691266775131226,234720
1982-06-02,1.8383167141019083,1.869126490382678,1.8075069378211388,1.858856439590454,661920
1982-06-03,1.8691266775131226,1.8793965412855784,1.848586761920241,1.8691266775131226,122400
1982-06-04,1.8485863521176917,1.8793961246529867,1.817776579582397,1.828046441078186,84480
1982-06-07,1.8075068179296006,1.8383165921667646,1.7766970436924365,1.8177766799926758,274080
1982-06-08,1.807507038116455,1.8177769014305842,1.7972369867543645,1.807507038116455,132480
1982-06-09,1.807507038116455,1.8280467647447134,1.7869671234402353,1.807507038116455,209040
1982-06-10,1.817776579582397,1.8280464410781858,1.797236668542891,1.828046441078186,211440
1982-06-11,1.9410159420222044,1.9820955818162134,1.8896662512437274,1.9718257188796997,511440
1982-06-14,1.9615562497550145,1.9718261147533576,1.9410163317103364,1.9512861967086792,229440
1982-06-15,1.9718240333848454,1.9923639297485354,1.941014282863207,1.9923639297485352,102960
1982-06-16,1.9718256148080977,1.9923655276449967,1.941015839576721,1.9410158395767212,246000
1982-06-17,1.9307459771822437,1.941015839576721,1.920475926739822,1.9410158395767212,225840
1982-06-18,1.93074631690979,1.9410161811113178,1.9204762646602849,1.93074631690979,108000
1982-06-21,1.9615548849105835,1.9923646465162583,1.9307451233049087,1.9615548849105835,124800
1982-06-22,1.9923639297485354,2.0129036380644316,1.9615541792268971,1.9923639297485352,59040
1982-06-23,1.9615541792268971,1.9923639297485354,1.9307444287052589,1.9923639297485352,315840
1982-06-24,2.0231756335863387,2.043715361732734,1.99236585331877,2.0026357173919678,269520
1982-06-25,2.0026357173919678,2.0334454976595366,1.971825937124399,2.0026357173919678,89280
1982-06-28,2.012905663858594,2.0437154453872863,1.982095882329901,2.0231757164001465,126960
1982-06-29,2.014908099152175,2.025240898132324,2.004575300172026,2.025240898132324,90960
1982-06-30,2.0459080572423383,2.0769066641702527,2.0149094503144243,2.0665738582611084,722640
1982-07-01,2.0355749130249023,2.045907717216756,2.0252419196325984,2.0355749130249023,267360
1982-07-02,2.025242072396795,2.035575066568518,2.004576462454279,2.014909267425537,206880
