Date,Open,High,Low,Close,Volume
1962-01-02,0.61930931447277,0.6296310575071351,0.6131162055533395,0.6172448396682739,432682
1962-01-03,0.6141483913518606,0.6141483913518606,0.608987421179327,0.6110517382621765,296467
1962-01-04,0.6110518313511285,0.6162127628731318,0.5986657692200811,0.6038265824317932,368581
1962-01-05,0.6038261459879866,0.604858441969185,0.5780217436499007,0.5883434414863586,546862
1962-01-08,0.5883440031187673,0.5883440031187673,0.5697647084316555,0.587311863899231,620978
1962-01-09,0.5873116309097312,0.5955690568844423,0.5831828390488611,0.5904080867767334,466735
1962-01-10,0.590408014609827,0.5966011227706199,0.5883436978052325,0.5935046672821045,392619
1962-01-11,0.5935042261617343,0.5945363640785217,0.5831823343164604,0.5945363640785217,326514
1962-01-12,0.5945365151454353,0.5955686927612137,0.5842148178611171,0.5862790942192078,338533
1962-01-15,0.5873117408256389,0.5945369899057228,0.5873117408256389,0.5924726724624634,424669
1962-01-16,0.5924724313805624,0.5996977169573828,0.5883436404270243,0.5976332426071167,278439
1962-01-17,0.5966011237378296,0.5966011237378296,0.5800863132170334,0.5842151045799255,428675
1962-01-18,0.584215175042729,0.5904080867767334,0.5831828390488611,0.5904080867767334,296467
1962-01-19,0.5904077493677363,0.5955687165260315,0.5904077493677363,0.5955687165260315,266420
1962-01-22,0.5966010645871064,0.6048586464941828,0.5966010645871064,0.5976332426071167,284448
1962-01-23,0.5955686927612137,0.5955686927612137,0.5842148178611171,0.5862790942192078,456720
1962-01-24,0.5862793238237523,0.5996977169573828,0.5842150466572288,0.5976332426071167,320505
1962-01-25,0.5976336917111045,0.601762485767309,0.5873119431912626,0.591440737247467,318502
1962-01-26,0.591440447638556,0.5924725864920354,0.587311655604085,0.5893759727478027,202319
1962-01-29,0.5893759479666517,0.5924725615806828,0.5883437697198128,0.5904080867767334,204322
1962-01-30,0.5976330917513236,0.6069228098967318,0.5976330917513236,0.6007297039031982,356562
1962-01-31,0.6007302109022684,0.6193095445632935,0.5996980717084454,0.6193095445632935,376593
1962-02-01,0.6193091040462875,0.6224055588620081,0.6089872067720283,0.6151803135871887,514811
1962-02-02,0.6151804796756545,0.6182771325111389,0.611051688101851,0.6182771325111389,296467
1962-02-05,0.6172451495724132,0.6172451495724132,0.6069234013557434,0.6069234013557434,282445
1962-02-06,0.6089873536788795,0.6151804619880119,0.6089873536788795,0.6131161451339722,208328
1962-02-07,0.6131164333429517,0.6193095445632935,0.6110519577714462,0.6193095445632935,338533
1962-02-08,0.61930912937943,0.623437762260437,0.6182769908775508,0.623437762260437,352555
1962-02-09,0.6234380553858404,0.6234380553858404,0.6120841715961419,0.6203415989875793,302477
1962-02-12,0.6203415989875793,0.6224058769619107,0.6172449454054983,0.6203415989875793,164259
1962-02-13,0.6213738228060578,0.627566933631897,0.6213738228060578,0.627566933631897,242382
1962-02-14,0.6275666927061506,0.6347919398862597,0.6265345145375636,0.6327276229858398,324511
1962-02-15,0.6337595255121603,0.6440812632720225,0.6337595255121603,0.6420169472694397,374590
1962-02-16,0.6420172830653231,0.6430494218880881,0.6327276787296191,0.637888491153717,468739
1962-02-19,0.6378884349552664,0.6409850483345358,0.6296310096065704,0.6327276229858398,312492
1962-02-20,0.6327275880270705,0.6327275880270705,0.6234378667127903,0.6316954493522644,214338
1962-02-21,0.6316955172356945,0.6347919730296172,0.6255024084640676,0.6296310424804688,216341
1962-02-23,0.6296308693289295,0.6306630078308085,0.6224055843218126,0.623437762260437,326514
1962-02-26,0.6234377367584109,0.6255022108614479,0.6100193846684311,0.6151803135871887,252398
1962-02-27,0.6151807511673698,0.6193095445632935,0.6141486119735468,0.6193095445632935,186294
1962-02-28,0.6193088997802596,0.6213732154554502,0.6141479725637253,0.6162122488021851,332524
1962-03-01,0.6193095051131373,0.627566933631897,0.6193095051131373,0.627566933631897,182287
1962-03-02,0.6285987967073335,0.6358240829249932,0.6285987967073335,0.6316954493522644,252398
1962-03-05,0.6327276229858398,0.6378884349552664,0.6327276229858398,0.6327276229858398,278439
1962-03-06,0.6327274820182939,0.6337596599569184,0.6213734458199335,0.623437762260437,188297
1962-03-07,0.6234381404989784,0.6306633904528931,0.6234381404989784,0.627566933631897,202319
1962-03-08,0.6275663414072066,0.6389203737794144,0.6255020256623489,0.6368559002876282,354559
1962-03-09,0.6399530092285003,0.6471782575334124,0.6399530092285003,0.6461461186408997,396625
1962-03-12,0.6461460938169707,0.6482104109594489,0.6440816189274572,0.6471782326698303,422666
1962-03-13,0.6513327397565267,0.6513327397565267,0.6440611098476424,0.6482162475585938,258407
1962-03-14,0.6482172097394406,0.6492561346240255,0.6409455293469217,0.6451008319854736,218344
1962-03-15,0.6451006018669726,0.6523722796655587,0.6419841061547771,0.6471781730651855,378596
1962-03-16,0.6482169556686745,0.6523722566785425,0.6482169556686745,0.6513334512710571,208328
1962-03-19,0.6513333210065541,0.6513333210065541,0.6440616846084595,0.6440616846084595,222350
1962-03-20,0.6440616846084595,0.6461392553179598,0.641983955139138,0.6440616846084595,170268
1962-03-21,0.644061162775576,0.646138731801783,0.6419834349896765,0.643022358417511,322508
1962-03-22,0.643022602014028,0.6451001718272816,0.639906108379364,0.639906108379364,204322
1962-03-23,0.6409445779597895,0.6482162475585938,0.6409445779597895,0.6482162475585938,256404
1962-03-26,0.6471778527701789,0.6471778527701789,0.6378286480903625,0.6378286480903625,232366
1962-03-27,0.6378282969372625,0.643022358417511,0.6357507279110555,0.643022358417511,250395
1962-03-28,0.6440618361128485,0.6513334742214699,0.6440618361128485,0.6471781730651855,266420
1962-03-29,0.6471773729255026,0.6523714731041343,0.6430222356662931,0.646138608455658,234369
1962-03-30,0.6461388711859423,0.647177636078165,0.6347119017124475,0.638867199420929,294464
1962-04-02,0.6378286985310163,0.6378286985310163,0.6336733991026238,0.6357511281967163,228360
1962-04-03,0.6357514370196784,0.6357514370196784,0.6243244969556607,0.6284795999526978,340537
1962-04-04,0.6284793067007357,0.6347121765828199,0.627440541358662,0.6295182704925537,274432
