Date,Open,High,Low,Close,Volume
1973-02-21,0.18049277365207672,0.18489518694950996,0.18049277365207672,0.18049277365207672,523200
1973-02-22,0.18049280574270749,0.18049280574270749,0.17168841840694682,0.17278891801834106,360000
1973-02-23,0.17278894152644036,0.17388942869256963,0.1705879420042038,0.1705879420042038,206400
1973-02-26,0.17058792314945895,0.17058792314945895,0.1672860085964203,0.1672860085964203,235200
1973-02-27,0.16618556229388562,0.16618556229388562,0.16288407516103576,0.1650850623846054,619200
1973-02-28,0.16508502191244345,0.16948743610496433,0.1628840352284666,0.1672860085964203,662400
1973-03-01,0.16838695507695625,0.17168844176532208,0.16838695507695625,0.1705879420042038,652800
1973-03-02,0.17058784889443884,0.17168834805488586,0.16948736232897396,0.17168834805488586,144000
1973-03-05,0.17168840731243626,0.17388939379800963,0.16838692128658295,0.16838692128658295,206400
1973-03-06,0.16838692128658295,0.16948742082686288,0.16728599351676207,0.16838692128658295,206400
1973-03-07,0.16838692128658295,0.17058790777215632,0.16728599351676207,0.16838692128658295,206400
1973-03-08,0.1683870259642799,0.16948752618868518,0.16068269312381744,0.16068269312381744,532800
1973-03-09,0.16068261399309128,0.16618552803993225,0.15848162722318626,0.16618552803993225,912000
1973-03-12,0.16618556229388562,0.1683869777471398,0.1650850623846054,0.1650850623846054,484800
1973-03-13,0.16508502191244345,0.16838693646548208,0.16508502191244345,0.1672860085964203,1238400
1973-03-14,0.16728604960817509,0.17168846487998962,0.1650850623846054,0.1650850623846054,1651200
1973-03-15,0.1650850623846054,0.16618556229388562,0.16398456247532522,0.1650850623846054,72000
1973-03-16,0.16508502835748567,0.16618552803993225,0.16508502835748567,0.16618552803993225,76800
1973-03-19,0.16618556229388562,0.16728604960817509,0.1650850623846054,0.1650850623846054,307200
1973-03-20,0.16508505864299175,0.16508505864299175,0.1595821561816097,0.16288407146930695,312000
1973-03-21,0.16288410918511356,0.16508509686843695,0.16068268067702285,0.16398459672927856,734400
1973-03-22,0.16398460943184603,0.16398460943184603,0.16068269312381744,0.16068269312381744,230400
1973-03-23,0.16068264022983392,0.16288406818377907,0.15848165310054513,0.15958215296268463,331200
1973-03-26,0.15958197100278587,0.15958197100278587,0.1551799891684829,0.1562804877758026,715200
1973-03-27,0.1562804877758026,0.15738097378814647,0.1551799891684829,0.1562804877758026,398400
1973-03-28,0.1562804877758026,0.15848147239546617,0.1551799891684829,0.1562804877758026,436800
1973-03-29,0.15518019833457378,0.15518019833457378,0.14747586643032723,0.15187828242778778,806400
1973-03-30,0.15187828242778778,0.15297878251846234,0.14967729484143147,0.15187828242778778,384000
1973-04-02,0.15187824535339542,0.15187824535339542,0.14417434355947273,0.14637534320354462,7924800
1973-04-03,0.1463753513727296,0.148576766774323,0.14527485148927496,0.14747583866119385,355200
