Date,Open,High,Low,Close,Volume
2000-08-11,301.5563249860491,331.12067057291665,283.81771763392857,310.4256286621094,792528
2000-08-14,309.6865875720978,310.42569637298584,283.8177795410156,283.8177795410156,80228
2000-08-15,287.51324801100895,292.6870082579937,283.81770497744844,286.7741394042969,48422
2000-08-16,285.2959553111683,308.9474334716797,285.2959553111683,292.6870422363281,42166
2000-08-17,289.7306499481201,295.6435203552246,282.3395619392395,283.8177795410156,47247
2000-08-18,296.3825577648446,339.98996651328804,292.6870146505697,338.5117492675781,60400
2000-08-21,356.25041318037876,384.3365453398277,329.64249850300604,359.20684814453125,66547
2000-08-22,363.641473558214,371.0325604191533,319.2949523925781,319.2949523925781,33878
2000-08-23,320.7732912210318,325.20794501671423,301.5564581064078,307.4693298339844,17925
2000-08-24,305.990839508531,308.94727274049745,285.2958068847656,285.2958068847656,18441
2000-08-25,297.1216402516782,305.9909429457581,286.7741204419182,304.5127258300781,20113
2000-08-28,317.07760641915456,320.40359529767716,295.6434558686756,310.4256286621094,19491
2000-08-29,317.8167489310291,319.2949663679176,298.5999222514785,316.3385314941406,22728
2000-08-30,315.5994234463192,347.3810984069555,313.38209728627476,335.55535888671875,19891
2000-08-31,356.2503368716442,390.2493316768219,351.8156853753167,382.8582458496094,87397
2000-09-01,381.3799830845424,384.3364170619419,354.7720772879464,372.51068115234375,27738
2000-09-05,373.9889180746423,384.3364375470632,366.59783273719876,368.0760498046875,23025
2000-09-06,381.38001029722153,384.3364444855721,360.68497097876764,366.59783935546875,20559
2000-09-07,378.42370923913046,378.42370923913046,316.3385694420856,339.99005126953125,23959
2000-09-08,337.4030587673187,342.94637298583984,325.20776748657227,331.1206359863281,15956
2000-09-11,326.68596752269843,331.1206186655405,319.29488228462833,328.1641845703125,34547
2000-09-12,321.5124001869789,326.6861629486084,304.5128939701961,307.4693298339844,33853
2000-09-13,301.55633239746095,310.4256362915039,292.68702850341793,295.6434631347656,10363
2000-09-14,328.16428830001155,328.16428830001155,295.64350297298336,300.0781555175781,8109
2000-09-15,297.12164306640625,307.46916297419153,295.6434259367226,297.12164306640625,3600
2000-09-18,310.42548935648074,313.3819225884472,282.3393736527991,285.2958068847656,18659
2000-09-19,309.6864743550619,310.4255828857422,254.25333455403646,266.0790710449219,48038
2000-09-20,271.99192350456514,273.4701404801334,230.60184818865307,245.38401794433594,24103
2000-09-21,243.9058348711799,254.2533551384421,240.949400509105,251.2969207763672,25247
2000-09-22,226.90627410708095,255.7315011109121,223.21073218351285,249.81863403320312,8456
2000-09-25,251.29697888102754,255.73163144951627,221.73262842443606,223.21084594726562,21066
2000-09-26,233.55832610259185,235.03654335640573,212.86328454919763,218.77615356445312,19634
2000-09-27,222.47171714553068,223.21082584036634,203.99399977463943,220.99349975585938,16756
2000-09-28,218.7761344909668,254.25334548950195,215.81970024108887,236.51473999023438,22041
2000-09-29,238.7320114458111,239.47111984038017,206.2112420847718,209.9067840576172,19125
2000-10-02,221.73261081471162,222.47171951742732,198.08113232780906,201.03756713867188,6888
2000-10-03,203.254845386415,209.90682214451587,183.29891511211247,187.7335662841797,10128
