Date,Open,High,Low,Close,Volume
1997-09-17,3.470106815587936,3.6511556412826103,3.470106815587936,3.5153684616088867,29185406
1997-09-18,3.5606293050575912,3.636066198348999,3.530454355603049,3.636066198348999,6731884
1997-09-19,3.628523458674305,3.741678987342742,3.628523458674305,3.6511547565460205,3440221
1997-09-22,3.6209800243377686,3.6662423026621216,3.613436684885454,3.6209800243377686,5831072
1997-09-23,3.6209800243377686,3.6360673437025306,3.613436684885454,3.6209800243377686,2738601
1997-09-24,3.62852368402015,3.6360673437025306,3.613436684885454,3.6209800243377686,2575576
1997-09-25,3.620981081765268,3.6737873554229736,3.620981081765268,3.6737873554229736,1005971
1997-09-26,3.666241451145212,3.7718536228593886,3.6586977932149125,3.7643096446990967,1636372
1997-09-29,3.7718544595140693,3.817116737365723,3.7718544595140693,3.8171167373657227,1708148
1997-09-30,3.8548339755675376,4.028339059438437,3.84729031803793,3.907640218734741,4639263
1997-10-01,3.9151857125531206,3.9151857125531206,3.7416799068450928,3.7416799068450928,3525907
1997-10-02,3.7567660627913098,3.764309720874264,3.6813291617317647,3.726591110229492,1870617
1997-10-03,3.7643093757904365,3.8020283032074174,3.741678083386242,3.7793970108032227,2065357
1997-10-06,3.7643099197040217,3.892553074578013,3.7643099197040217,3.8623781204223633,7842458
1997-10-07,3.8925511584395927,3.9529007168133394,3.696415173782381,3.7567644119262695,21602230
1997-10-08,3.7567665083822988,3.771854146567755,3.6813295983751635,3.70396089553833,16664736
1997-10-09,3.69641731274131,3.862378454131348,3.6285234198525633,3.854834794998169,12844494
1997-10-10,3.726590555755625,3.8548336847747455,3.711503562064486,3.8095717430114746,10308979
1997-10-13,3.81711764164868,3.869923591613769,3.809573980257973,3.8699235916137695,10520968
1997-10-14,3.8397467757031722,3.915184320243743,3.8322031173181186,3.8472907543182373,17077029
1997-10-15,3.7567655438997365,3.8397460915808055,3.7567655438997365,3.832202434539795,9048733
1997-10-16,3.8623773829337913,3.877465017245767,3.802028126605708,3.832202434539795,9002552
1997-10-17,3.7718536228593886,3.786940938719989,3.6586977932149125,3.7643096446990967,6431428
1997-10-20,3.7492233075246855,3.915185106233432,3.7492233075246855,3.8925538063049316,7995468
1997-10-21,3.8623782804212423,4.126407939358036,3.8623782804212423,4.050971031188965,9219548
1997-10-22,3.98307728767395,4.028339234822187,3.937814700065735,3.98307728767395,5610738
1997-10-23,3.9227273843496566,3.99062094553199,3.892552752917499,3.98307728767395,7688892
1997-10-24,3.99062094553199,4.013252239336097,3.915184046721606,3.98307728767395,5598497
1997-10-27,3.922725777511537,3.930269432279523,3.696415173782381,3.7567644119262695,6699056
1997-10-28,3.6360657845376116,3.817115140430135,3.515366320685906,3.7341339588165283,4660406
1997-10-29,3.7492216474678686,3.8020278838431296,3.643609494947281,3.6586971282958984,3286098
1997-10-30,3.5153689012239333,3.643612115663163,3.5153689012239333,3.560631513595581,4901884
1997-10-31,3.560628952564587,3.6813284182038584,3.5530852960052455,3.6586971282958984,5334207
1997-11-03,3.6813297271728516,3.711504684369451,3.628523472021291,3.6813297271728516,5457171
1997-11-04,3.651153833191253,3.6888724399519397,3.605891889354388,3.636066198348999,5849990
1997-11-05,3.620979975542493,3.681329892648417,3.605892976611106,3.643610954284668,6204973
1997-11-06,3.6511549451663052,3.862378694987313,3.636067305729045,3.8171167373657227,6185499
1997-11-07,3.802028852571096,3.915184370252254,3.7416786240297806,3.8623781204223633,6055858
1997-11-10,3.892553477745773,4.14903949382905,3.8774661592203006,4.081146240234375,5481653
1997-11-11,3.952902299970777,4.05851414948038,3.952902299970777,4.043426513671875,4125150
1997-11-12,4.013255024019878,4.043429356159159,3.9604487419128422,3.960448741912842,4147406
1997-11-13,3.9755335935685414,4.066057807269639,3.9755335935685414,4.043426513671875,6960008
